Summary data collected by the Greenhouse Gas Reporting Program,,,,,,,,,,,,,,,,,,,,,,,
This data was reported to EPA by facilities as of 8/12/2022,,,,,,,,,,,,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4 (see FAQs tab).,,,,,,,,,,,,,,,,,,,,,,,
Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Latest Reported Industry Type (subparts),Latest Reported Industry Type (sectors),2021 Total reported direct emissions,2020 Total reported direct emissions,2019 Total reported direct emissions,2018 Total reported direct emissions,2017 Total reported direct emissions,2016 Total reported direct emissions,2015 Total reported direct emissions,2014 Total reported direct emissions,2013 Total reported direct emissions,2012 Total reported direct emissions,2011 Total reported direct emissions
1001444,110000522113,AES Alamitos,LONG BEACH,CA,90803,690 N STUDEBAKER ROAD,Los Angeles,33.77,-118.10,221112,"C,D",Power Plants,1512393.8,823900.0,531900.5,686655.3,591937.1,599958.9,684931.6,841011.8,895173.7,949253.8,693852.3
1001222,110000329083,AES Beaver Valley LLC,MONACA,PA,15061,394 FRANKFORT RD,Beaver,40.66,-80.36,221112,D,Power Plants,,,,,,,27740.1,119152.0,146903.0,1256797.0,1180662.0
1000281,110000462785,"AES Deepwater, Inc.",PASADENA,TX,77506,701 LIGHT COMPANY ROAD,Harris,29.72,-95.23,221119,D,Power Plants,,,,,,,,0.0,145875.0,81640.4,0.0
1005972,110027164164,AES HAWAII INC,KAPOLEI,HI,96707,91-086 KAOMI LP,HONOLULU COUNTY,21.30,-158.11,221112,C,Power Plants,1068811.4,1186453.7,1309102.4,1287782.3,1473806.5,1930487.8,1643792.7,1767528.4,1686962.1,1824245.5,1681827.5
1001447,110002921713,AES Huntington Beach,HUNTINGTON BEACH,CA,92646,21730 NEWLAND ST,Orange,33.64,-117.98,221112,"C,D",Power Plants,1501324.0,516763.9,255988.9,201661.6,256547.5,298418.2,432232.9,530032.6,498432.9,693421.5,661647.9
1001450,110014322170,AES Redondo Beach,REDONDO BEACH,CA,90277,1100 N HARBOR DRIVE,Los Angeles,33.85,-118.40,221112,D,Power Plants,192627.1,239844.4,171792.8,194695.0,352462.0,213419.1,318387.0,177465.3,223221.7,409497.1,314013.5
1001223,110000551055,AES Warrior Run,CUMBERLAND,MD,21502,11600 MEXICO FARMS RD SE,Allegany,39.59,-78.75,221112,"C,D,PP","Power Plants,Suppliers of CO2",1411841.3,1117383.0,1226185.3,1212774.5,1233626.2,1091102.6,1324825.0,1367443.0,1482156.4,1408065.4,1487364.7
1003853,110045614689,AFTON CHEMICAL CORP,SAUGET,IL,62201,501 MONSANTO AVE.,ST. CLAIR COUNTY,38.60,-90.17,324191,C,Petroleum and Natural Gas Systems,51908.3,50044.2,51203.2,50153.5,49646.6,48641.4,49461.3,50470.8,45603.1,41473.7,44437.0
1007551,110007383919,AG Energy,Ogdensburg,NY,13669,21 Entrance Avenue,ST. LAWRENCE COUNTY,44.73,-75.44,221112,"C,D",Power Plants,6778.7,7329.7,8453.0,8596.1,8104.1,8417.4,9454.5,9323.6,9405.0,9060.4,10524.6
1002069,110018869303,AG PROCESSING INC,EMMETSBURG,IA,50536,4739 380TH ST,PALO ALTO COUNTY,43.10,-94.65,311224,C,Other,24670.1,25396.0,25308.8,24158.7,23269.5,22163.9,25088.2,,,,
1002070,110000414365,AG PROCESSING INC A COOP-MANNING,MANNING,IA,51455,1000 300TH STREET,CARROLL COUNTY,41.92,-95.07,311224,C,Other,22416.5,20570.8,20867.7,21352.8,18791.9,17900.0,18891.9,17380.9,25222.0,26736.4,
1006054,110011273022,AG PROCESSING INC-EAGLE GROVE,EAGLE GROVE,IA,50533,500 NORTH COMMERCIAL AVENUE,WRIGHT COUNTY,42.67,-93.90,311224,C,Other,74322.7,66086.5,68459.5,105532.1,108347.1,129447.3,131086.1,127059.3,116196.5,159888.5,159666.2
1002408,110018868126,AG PROCESSING INC-SHELDON,SHELDON,IA,51201,804 2ND AVE,O'BRIEN COUNTY,43.18,-95.86,311224,C,Other,27003.3,27849.4,27399.5,27545.1,26328.9,25410.2,,,,,
1002291,110000427093,AG PROCESSING INCORPORATED A COOPERATIVE,DAWSON,MN,56232,800 DIAGONAL STREET,LAC QUI PARLE COUNTY,44.93,-96.06,311224,C,Other,36929.4,38906.0,42325.6,36194.6,34376.9,33267.4,32544.7,32785.7,24991.6,22220.1,23533.7
